tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies
20453,3 Idiots,hi,hi,2009-12-23,18.9154,8.0,2706,2,1,4,26,5,9000000,70000000,171,"['Drama', 'Comedy']","['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']"
781732,Animal,hi,hi,2023-12-01,16.0044,6.119,189,2,2,3,158,26,13000000,108300000,201,"['Action', 'Crime', 'Drama']","['T-Series', 'Bhadrakali Pictures', 'ST Film']"
360814,Dangal,hi,hi,2016-12-21,9.7434,7.878,1155,2,4,1,25,5,10400000,311000000,161,"['Drama', 'Family', 'Comedy']","['Aamir Khan Productions', 'UTV Motion Pictures', 'Disney World Cinema']"
7508,Like Stars on Earth,hi,hi,2007-12-21,8.3399,7.969,1337,2,1,4,17,3,2600000,28430000,162,['Drama'],"['Aamir Khan Productions', 'PVR Inox Pictures', 'UTV Motion Pictures']"
872906,Jawan,hi,hi,2023-09-07,7.9648,7.077,326,2,2,3,205,19,36150000,136698671,169,"['Action', 'Thriller']",['Red Chillies Entertainment']
376812,Sultan,hi,hi,2016-07-06,7.2931,6.861,259,2,1,4,17,4,10400000,102000000,170,"['Drama', 'Action', 'Romance']",['Yash Raj Films']
26022,My Name Is Khan,hi,hi,2010-02-10,5.4532,8.028,1452,2,2,2,43,11,12000000,42345360,165,"['Drama', 'Romance']","['Dharma Productions', 'Fox Searchlight Pictures', 'Red Chillies Entertainment', 'Fox Star Studios', 'Image Nation Abu Dhabi', 'Fox International Productions', 'Mandate International', 'Star China Media', 'Bollywood Hollywood Productions', 'FilmyBox Movies', 'Sony Music']"
1163258,12th Fail,hi,hi,2023-08-11,5.997,7.9,238,2,1,4,25,3,2400000,8300000,146,['Drama'],"['Vidhu Vinod Chopra Productions', 'Zee Studios']"
1160018,Kill,hi,hi,2024-07-03,7.0544,7.105,493,2,1,4,81,5,4800000,5600000,105,"['Action', 'Crime', 'Thriller', 'Drama']","['Sikhya Entertainment', 'Dharma Productions']"
4251,Veer-Zaara,hi,hi,2004-11-12,5.716,7.452,305,2,4,1,30,7,7000000,29385320,192,"['Drama', 'Romance']","['Yash Raj Films', 'Veer Zaara Pictures']"
370665,Dilwale,hi,hi,2015-12-18,5.2053,6.6,344,2,2,3,21,2,26000000,61000000,158,"['Crime', 'Action', 'Comedy']","['Red Chillies Entertainment', 'Rohit Shetty Productionz']"
206324,Bhaag Milkha Bhaag,hi,hi,2013-07-12,5.5778,7.5,278,2,3,2,15,4,4600000,25000000,186,"['History', 'Drama']",['Viacom18 Studios']
192558,Aashiqui 2,hi,hi,2013-04-26,5.3046,6.84,188,2,1,4,8,1,1300000,16000000,132,"['Drama', 'Romance']","['T-Series', 'Vishesh Films']"
297222,PK,hi,hi,2014-12-18,5.6558,7.695,1156,2,1,4,22,6,13000000,118920000,153,"['Comedy', 'Drama', 'Science Fiction']","['Rajkumar Hirani Films', 'Vinod Chopra Films', 'UTV Motion Pictures']"
205022,Chennai Express,hi,hi,2013-08-08,5.0242,6.52,381,2,1,4,16,3,18000000,62000000,141,"['Romance', 'Comedy', 'Action']","['Red Chillies Entertainment', 'UTV Motion Pictures', 'Reliance MediaWorks']"
363343,Raees,hi,hi,2017-01-25,5.2103,6.663,251,2,2,3,11,3,46000000,0,143,"['Thriller', 'Action', 'Crime']","['Red Chillies Entertainment', 'Excel Entertainment']"
864692,Pathaan,hi,hi,2023-01-25,4.9965,6.413,252,2,2,3,53,3,30270000,127180000,146,"['Action', 'Adventure', 'Thriller']","['Yash Raj Films', 'Pathaan Productions', 'Palma Pictures', 'FPS Productions', 'NSA Picture', 'ODU Movies']"
784651,Fighter,hi,hi,2024-01-24,4.578,6.157,159,2,2,3,67,6,30069500,43160558,167,"['Action', 'Drama']","['Marflix Pictures', 'Viacom18 Studios', 'Prime Focus']"
44977,Dhoom 3,hi,hi,2013-12-19,4.4484,6.0,307,0,1,4,17,7,19500000,91000000,171,"['Action', 'Crime']","['Yash Raj Films', 'Dhoom Studios', 'Prime Focus']"
362045,Bajirao Mastani,hi,hi,2015-12-18,4.6149,7.257,306,2,3,2,15,4,19500000,56000000,158,"['History', 'Romance', 'Drama']","['Eros International', 'Bhansali Productions']"
1029827,Drishyam 2,hi,hi,2022-11-18,5.1393,8.014,107,2,3,2,22,6,7200000,41000000,140,"['Thriller', 'Drama', 'Mystery']","['Viacom18 Studios', 'Panorama Studios', 'T-Series', 'Aashirvad Cinemas', 'Reflection Pictures Studio']"
11518,Mohabbatein,hi,hi,2000-10-27,4.7133,7.087,289,2,0,5,29,8,4000000,20000000,216,"['Drama', 'Romance']",['Yash Raj Films']
577328,Kabir Singh,hi,hi,2019-06-20,5.277,6.3,178,2,2,3,13,3,8751000,55478164,172,"['Drama', 'Romance']","['Cine1 Studios', 'T-Series']"
538858,Tumbbad,hi,hi,2018-10-12,4.0664,7.581,326,2,0,2,17,2,0,0,113,"['Fantasy', 'Horror']","['Filmgate Films', 'Film i Väst', 'Sohum Shah FIlms', 'Colour Yellow Productions', 'Eros International']"
117691,Gangs of Wasseypur - Part 1,hi,hi,2012-06-22,3.9978,7.076,433,2,2,3,17,4,1400000,4100000,160,"['Action', 'Thriller', 'Crime']","['Anurag Kashyap Films', 'Jar Pictures', 'Tipping Point Films', 'Viacom18 Studios']"
352173,Drishyam,hi,hi,2015-07-30,4.1204,7.542,490,2,3,1,16,3,4600000,18000000,163,"['Mystery', 'Thriller', 'Drama']","['Panorama Studios', 'Viacom18 Studios']"
432527,Padmaavat,hi,hi,2018-01-25,3.815,6.9,307,2,1,4,47,4,31000000,81673897,163,"['Drama', 'History', 'Romance']","['Bhansali Productions', 'Viacom18 Studios']"
61202,Zindagi Na Milegi Dobara,hi,hi,2011-07-15,3.3564,7.59,409,1,2,3,21,8,7700000,160000000,154,"['Drama', 'Comedy', 'Romance']","['Excel Entertainment', 'Eros International']"
585268,War,hi,hi,2019-10-02,3.9649,6.747,378,2,2,3,22,4,24140000,67540000,152,"['Action', 'Thriller', 'Adventure']","['Yash Raj Films', 'Reverie Entertainment']"
599925,Shershaah,hi,hi,2021-08-12,3.6259,7.302,121,2,1,4,14,1,0,0,135,"['Action', 'Drama', 'Thriller', 'War']","['Dharma Productions', 'Kaash Entertainment']"
664332,Gangubai Kathiawadi,hi,hi,2022-02-24,3.6824,7.463,191,2,3,2,23,7,12000000,25300000,157,"['Crime', 'Drama', 'History']","['Bhansali Productions', 'Pen Studios']"
32740,Krrish,hi,hi,2006-06-23,3.5121,6.502,277,2,2,3,15,6,5000000,16000000,174,"['Action', 'Science Fiction']","['Film Kraft', 'Golden Network Asia', 'Yash Raj Films', 'Adlabs Films']"
8079,Om Shanti Om,hi,hi,2007-11-07,3.5609,7.116,398,1,2,3,85,28,9100000,37707444,169,"['Comedy', 'Thriller', 'Drama']","['Red Chillies Entertainment', 'Eros International']"
17501,Don,hi,hi,2006-10-20,3.5735,6.913,303,2,1,4,25,4,5000000,15000000,178,"['Action', 'Drama', 'Thriller']",['Excel Entertainment']
496331,Brahmāstra Part One: Shiva,hi,hi,2022-09-08,2.9853,6.321,195,2,2,3,24,7,22000000,0,168,"['Action', 'Adventure', 'Fantasy']","['Dharma Productions', 'Prime Focus', 'Starlight Pictures', 'Star Studios']"
596650,Chhichhore,hi,hi,2019-09-05,3.0388,7.678,171,2,1,4,15,1,6825000,29353057,146,"['Romance', 'Comedy', 'Drama']","['Fox Star Studios', 'Nadiadwala Grandson Entertainment']"
592508,Sooryavanshi,hi,hi,2021-11-05,3.4476,5.8,176,2,1,4,33,4,13000000,35000000,145,"['Action', 'Crime', 'Thriller']","['Reliance Entertainment', 'Dharma Productions', 'Rohit Shetty Productionz']"
611359,Tu Jhoothi Main Makkaar,hi,hi,2023-03-08,3.4879,6.3,217,2,2,2,21,5,0,0,159,"['Comedy', 'Romance', 'Family']","['LUV Films', 'T-Series', 'Identical Pictures']"
41517,Ra.One,hi,hi,2011-10-24,3.3158,5.736,377,2,1,3,21,6,24000000,35911689,156,"['Adventure', 'Action', 'Science Fiction']","['Red Chillies Entertainment', 'Eros International', 'Prime Focus']"
277432,Happy New Year,hi,hi,2014-10-24,3.3101,6.121,290,1,1,4,32,5,25000000,0,180,"['Action', 'Comedy', 'Crime', 'Adventure']","['Red Chillies Entertainment', 'Yash Raj Films']"
15917,Devdas,hi,hi,2002-07-11,3.0749,7.499,379,2,3,2,21,10,6663555,13311117,185,"['Drama', 'Romance']","['V.I.P. Films', 'Mega Bollywood Private Limited']"
10757,Kabhi Khushi Kabhie Gham,hi,hi,2001-12-14,3.3665,7.663,603,2,2,3,33,11,7500000,11336308,209,"['Comedy', 'Drama']","['Dharma Productions', 'Yash Raj Films', 'British Film Commission', 'K3G Films Limited']"
14163,Chak De! India,hi,hi,2007-08-09,2.9444,7.193,373,2,4,1,26,9,6300000,40000000,148,['Drama'],"['Yash Raj Films', 'Film Victoria']"
79464,Rockstar,hi,hi,2011-11-11,3.0588,7.281,219,2,2,3,11,4,10920000,19660000,159,"['Drama', 'Music', 'Romance']","['Eros International', 'Shree Ashtavinayak Cine Vision']"
534780,Andhadhun,hi,hi,2018-10-05,3.0762,7.604,620,2,2,3,14,5,4500000,40000000,139,"['Crime', 'Mystery', 'Thriller', 'Comedy']","['Viacom18 Studios', 'Matchbox Pictures']"
185008,Yeh Jawaani Hai Deewani,hi,hi,2013-05-31,2.9824,7.28,298,2,2,3,16,9,7700000,46000000,160,"['Romance', 'Comedy']","['Dharma Productions', 'UTV Motion Pictures', 'Eros International']"
14072,Rab Ne Bana Di Jodi,hi,hi,2008-12-11,2.7757,7.116,315,2,1,4,26,9,0,29914469,167,"['Comedy', 'Drama', 'Romance']",['Yash Raj Films']
493623,Hichki,hi,hi,2018-03-23,2.5044,7.6,157,2,1,4,19,4,2000000,25629954,116,"['Drama', 'Comedy']",['Yash Raj Films']
14134,Main Hoon Na,hi,hi,2004-04-30,3.0636,6.6,423,1,2,3,22,6,0,5920000,179,['Drama'],"['Red Chillies Entertainment', 'Venus Films']"
191714,The Lunchbox,hi,hi,2013-09-20,3.201,7.375,806,2,2,3,39,4,3400000,17240000,104,"['Drama', 'Romance']","['DAR Motion Pictures', 'A.S.A.P. Films', 'Sikhya Entertainment', 'National Film Development Corporation of India', 'Rohfilm', 'Cine Mosaic', 'ARTE France Cinéma', 'Dharma Productions', 'Nittin Keni Creations', 'UTV Motion Pictures']"
441909,Tiger Zinda Hai,hi,hi,2017-12-18,2.7616,6.251,175,2,1,4,27,5,19000000,86610000,160,"['Action', 'Adventure', 'Thriller']","['Yash Raj Films', 'Cine Tirol', 'NSA Picture']"
503838,Raid,hi,hi,2018-03-16,2.9529,7.165,130,2,3,2,11,3,4700000,18000000,120,"['Crime', 'Drama', 'Thriller']","['Panorama Studios', 'T-Series']"
14194,Dhoom 2,hi,hi,2006-11-24,2.8725,6.627,284,0,2,3,13,3,11000000,46396427,151,"['Drama', 'Action', 'Thriller', 'Crime']","['Yash Raj Films', 'Dhoom Studios']"
441889,Secret Superstar,hi,hi,2017-10-19,3.1077,7.258,194,2,2,2,12,4,286284,137416709,150,"['Drama', 'Music']","['Zee Studios', 'Aamir Khan Productions']"
14070,Ghajini,hi,hi,2008-12-25,2.9311,7.016,447,2,2,3,15,5,9100000,76000000,186,"['Action', 'Romance', 'Thriller']",['Geetha Arts']
554600,Uri: The Surgical Strike,hi,hi,2019-01-11,2.5337,7.039,477,2,2,3,47,6,0,0,138,"['Action', 'Drama', 'War']",['RSVP Movies']
530154,Lust Stories,hi,hi,2018-06-15,3.0592,6.215,142,2,3,2,18,9,0,0,120,"['Drama', 'Romance']","['RSVP Movies', 'Flying Unicorn Entertainment', 'Tiger Baby']"
118051,Cocktail,hi,hi,2012-07-13,2.9702,6.119,126,2,2,3,9,4,5100000,18000000,146,"['Romance', 'Drama', 'Comedy']","['Raj Film Productions', 'Eros International', 'Illuminati Films Pvt Ltd', 'Prime Focus', 'Cocktale Films', 'T-Series']"
126400,Gangs of Wasseypur - Part 2,hi,hi,2012-08-08,2.9109,7.752,107,2,2,3,21,4,1670000,4900000,160,"['Crime', 'Thriller', 'Action']","['Viacom18 Studios', 'Anurag Kashyap Films', 'Jar Pictures', 'Tipping Point Films']"
19625,Munna Bhai M.B.B.S.,hi,hi,2003-12-19,2.5349,7.187,356,2,1,4,21,6,0,0,156,"['Comedy', 'Drama']",['Vidhu Vinod Chopra Productions']
19666,Lagaan: Once Upon a Time in India,hi,hi,2001-06-15,2.6118,7.252,638,2,3,2,37,3,5200000,8100000,233,"['Adventure', 'Drama', 'History']","['Aamir Khan Productions', 'Jhamu Sughand Productions', 'Ashutosh Gowariker Productions']"
348892,Bajrangi Bhaijaan,hi,hi,2015-07-17,3.0197,7.798,545,2,2,3,18,4,13000000,150000000,159,"['Comedy', 'Drama', 'Adventure']","['Rockline Entertainments', 'Kabir Khan Films', 'Salman Khan Films']"
338065,Dil Dhadakne Do,hi,hi,2015-06-04,2.358,6.867,158,1,3,2,43,8,13000000,22000000,170,"['Drama', 'Family', 'Romance']","['Excel Entertainment', 'Junglee Pictures', 'KanZaman Productions', 'LPT Film', 'Emme Film', 'Condominium Films', 'Jake Production', 'Sindbad Productions', 'Eros International']"
283589,Bang Bang!,hi,hi,2014-10-02,2.6384,6.204,252,2,1,4,12,2,0,0,153,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']","['Fox Star Studios', 'Benetone Films', 'Fox International Productions India', 'Milk & Honey Pictures']"
491625,Gully Boy,hi,hi,2019-02-14,2.19,7.4,211,1,1,4,17,8,5782853,28299498,156,"['Drama', 'Music']","['Excel Entertainment', 'Tiger Baby']"
235984,Goliyon Ki Raasleela Ram-Leela,hi,hi,2013-11-14,2.6729,6.973,200,2,3,2,12,5,0,32000000,155,"['Drama', 'Romance']","['Eros International', 'Bhansali Productions']"
960876,Dunki,hi,hi,2023-12-21,2.5885,6.315,108,2,1,3,136,4,14500000,15000000,159,"['Adventure', 'Comedy', 'Drama']","['Red Chillies Entertainment', 'Rajkumar Hirani Films', 'Jio Studios']"
392572,Rustom,hi,hi,2016-08-12,2.3749,6.679,140,2,3,2,14,3,6114349,26309214,148,"['Thriller', 'Drama', 'Crime']","['KriArj Entertainment', 'Zee Studios', 'Hari Om Entertainment']"
8453,Fanaa,hi,hi,2006-05-26,2.1158,6.776,232,2,3,2,18,8,5300000,22175908,168,"['Action', 'Drama', 'Romance', 'Thriller']",['Yash Raj Films']
85985,Ek Tha Tiger,hi,hi,2012-08-15,2.6114,6.191,217,2,1,4,36,2,14040000,62690000,133,"['Action', 'Thriller', 'Romance']","['Yash Raj Films', 'Fantastic Films', 'Prime Focus']"
496328,Sanju,hi,hi,2018-06-29,2.1727,7.2,215,2,2,3,16,7,21918618,67414985,161,['Drama'],"['Rajkumar Hirani Films', 'Vinod Chopra Films', 'Vidhu Vinod Chopra Productions']"
362136,Prem Ratan Dhan Payo,hi,hi,2015-11-11,2.2841,5.285,123,2,2,3,18,5,23400000,67000000,164,"['Romance', 'Drama', 'Action']","['Fox Star Studios', 'Rajshri Productions']"
388333,M.S. Dhoni: The Untold Story,hi,hi,2016-09-30,2.7354,7.24,202,2,2,3,27,7,0,0,190,['Drama'],"['Fox Star Studios', 'Inspired Entertainments', 'Friday Filmworks']"
533991,Stree,hi,hi,2018-08-31,2.2778,6.934,190,0,1,4,23,4,2800000,21000000,128,"['Horror', 'Comedy']","['Maddock Films', 'D2R Films']"
4254,Kal Ho Naa Ho,hi,hi,2003-11-27,2.1088,7.458,443,2,3,2,37,17,0,13214520,187,"['Comedy', 'Drama', 'Romance']",['Dharma Productions']
14395,Kabhi Alvida Naa Kehna,hi,hi,2006-08-11,2.279,6.437,231,2,2,3,22,7,7400000,17000000,193,"['Drama', 'Romance']",['Dharma Productions']
393445,Ae Dil Hai Mushkil,hi,hi,2016-10-27,2.2263,6.4,217,2,3,2,14,7,0,0,158,"['Romance', 'Drama']","['ADHM Films', 'Fox Star Studios', 'Dharma Productions']"
594669,Baaghi 3,hi,hi,2020-03-06,2.0163,6.3,125,0,2,3,13,3,7952450,18473570,144,"['Action', 'Adventure', 'Thriller']","['Nadiadwala Grandson Entertainment', 'Fox Star Studios']"
695969,Haseen Dillruba,hi,hi,2021-06-30,2.4179,6.771,118,0,2,3,18,4,0,0,136,"['Romance', 'Mystery', 'Thriller']","['Colour Yellow Productions', 'Eros International', 'T-Series']"
337876,Gabbar Is Back,hi,hi,2015-05-01,2.4305,6.891,138,2,1,4,16,5,11000000,41000000,130,"['Drama', 'Action']","['Viacom18 Studios', 'Bhansali Productions']"
581361,Badla,hi,hi,2019-03-08,2.0286,7.266,169,2,2,3,19,4,0,0,120,"['Crime', 'Thriller', 'Mystery', 'Drama']","['Azure Entertainment', 'Red Chillies Entertainment', 'Universal Media']"
41109,Don 2,hi,hi,2011-12-23,2.2448,6.971,262,2,2,3,20,4,11000000,2900000,139,"['Action', 'Thriller']","['Excel Entertainment', 'Red Chillies Entertainment', 'Landmark Productions', 'Pixion Studio']"
734253,Adipurush,hi,hi,2023-06-16,1.8261,4.604,106,0,1,3,27,4,63000000,54300000,179,"['Action', 'Adventure', 'Fantasy']","['Retrophiles Private Limited', 'T-Series', 'UV Creations', 'RKB Creative (US)']"
19025,Bhool Bhulaiyaa,hi,hi,2007-10-12,1.8978,6.743,204,2,2,3,15,6,3800000,9900000,158,"['Comedy', 'Horror', 'Thriller']",['T-Series']
16345,Billu,hi,hi,2009-02-13,2.1997,6.406,112,2,1,4,27,6,5750000,10000000,137,"['Comedy', 'Drama']","['Red Chillies Entertainment', 'Eros International']"
496076,Zero,hi,hi,2018-12-21,1.988,5.18,114,2,2,3,33,15,26000000,0,164,"['Romance', 'Drama', 'Comedy']","['Red Chillies Entertainment', 'Colour Yellow Productions']"
280690,Kick,hi,hi,2014-07-25,2.6201,5.7,172,2,1,4,16,4,22000000,55000000,146,"['Action', 'Romance', 'Comedy', 'Crime']","['Nadiadwala Grandson Entertainment', 'UTV Motion Pictures']"
138122,Student Of The Year,hi,hi,2012-10-19,2.3472,5.792,190,2,2,3,22,11,8391922,13749809,146,"['Comedy', 'Drama', 'Romance']","['Dharma Productions', 'Red Chillies Entertainment']"
950071,Jaane Jaan,hi,hi,2023-09-21,2.0525,7.04,113,2,2,3,14,5,0,0,139,"['Crime', 'Thriller', 'Drama']","['Kross Pictures', '12th Street Entertainment', 'Balaji Motion Pictures', 'Northern Lights Films']"
381418,Sanam Teri Kasam,hi,hi,2016-02-05,1.8387,7.854,140,0,1,4,8,1,0,0,154,"['Drama', 'Romance']","['Eros International', 'Soham Rockstar Entertainment']"
262903,Main Tera Hero,hi,hi,2014-04-04,1.9146,5.682,195,2,2,3,16,4,0,0,128,"['Romance', 'Comedy']",['Balaji Motion Pictures']
